faculty,application,lowest_score,highest_score
دیپارتمنت کیمیا (ذکور) پوهنځی ساینس پوهنتون ننگرهار ,60,150.244,225.7348
دیپارتمنت مطبوعات (ذکور) پوهنځی ژورنالیزم پوهنتون ننگرهار ,60,189.2203,221.634
دیپارتمنت زبان و ادبیات آلمانی (ذکور) پوهنځی زبان و ادبیات پوهنتون ننگرهار ,60,178.8781,220.8607
دیپارتمنت بیولوژی (ذکور) پوهنځی تعلیم و تربیه پوهنتون ننگرهار ,60,186.1755,220.7276
دیپارتمنت زبان و ادبیات عربی (ذکور) پوهنځی زبان و ادبیات پوهنتون ننگرهار ,60,183.8204,208.8839
دیپارتمنت علوم حیوانی (ذکور) پوهنځی زراعت پوهنتون ننگرهار ,60,173.3825,203.6864
دیپارتمنت زبان و ادبیات هندی (ذکور) پوهنځی زبان و ادبیات پوهنتون ننگرهار ,60,156.2577,203.0022
دیپارتمنت زبان و ادبیات پشتو (ذکور) پوهنځی تعلیم و تربیه پوهنتون ننگرهار ,60,174.3439,202.109
دیپارتمنت جغرافیه (ذکور) پوهنځی تعلیم و تربیه پوهنتون ننگرهار ,60,163.7047,196.8697
دیپارتمنت تاریخ (ذکور) پوهنځی تعلیم و تربیه پوهنتون ننگرهار ,60,167.9584,193.0208
دیپارتمنت عمومی (ذکور) پوهنځی طب پوهنتون کندهار ,60,317.2119,337.7478
دیپارتمنت سیول (ذکور) پوهنځی انجنیری پوهنتون کندهار ,60,268.5248,333.1223
دیپارتمنت عمومی (ذکور) پوهنځی کمپیوتر ساینس پوهنتون کندهار ,60,262.3142,312.4775
دیپارتمنت منجمنت و ادارۀ تشبثات (BBA) (ذکور) پوهنځی اقتصاد پوهنتون کندهار ,60,242.1006,307.5737
دیپارتمنت عمومی (ذکور) پوهنځی فارمسی پوهنتون کندهار ,60,242.721,306.5232
دیپارتمنت تعلیمات اسلامی (ذکور) پوهنځی شرعیات پوهنتون کندهار ,60,197.0292,305.3286
دیپارتمنت مهندسی (ذکور) پوهنځی انجنیری پوهنتون کندهار ,60,205.4079,304.2759
دیپارتمنت زبان و ادبیات پشتو (ذکور) پوهنځی تعلیم و تربیه پوهنتون کندهار ,60,177.4305,291.4829
دیپارتمنت انرژی (ذکور) پوهنځی انجنیری پوهنتون کندهار ,60,207.6541,289.691
دیپارتمنت انجنیری منابع آب و حفاظت محیط زیست (ذکور) پوهنځی انجنیری پوهنتون کندهار ,60,195.6542,289.0057
دیپارتمنت ریاضی (ذکور) پوهنځی تعلیم و تربیه پوهنتون کندهار ,60,159.4411,266.7604
دیپارتمنت آموزش کمپیوتر (ذکور) پوهنځی تعلیم و تربیه پوهنتون کندهار ,60,192.0583,266.3666
دیپارتمنت کیمیا (ذکور) پوهنځی تعلیم و تربیه پوهنتون کندهار ,60,150.8347,260.4849
دیپارتمنت عمومی (ذکور) پوهنځی اداره و پالیسی عامه پوهنتون کندهار ,60,219.0732,259.2969
دیپارتمنت قضا و څارنوالی (ذکور) پوهنځی حقوق و علوم سیاسی پوهنتون کندهار ,60,203.7073,259.0648
دیپارتمنت فقه و قانون (ذکور) پوهنځی شرعیات پوهنتون کندهار ,60,194.3738,258.0594
دیپارتمنت فزیک (ذکور) پوهنځی تعلیم و تربیه پوهنتون کندهار ,60,150.1054,257.5347
دیپارتمنت ژورنالیزم (ذکور) پوهنځی ژورنالیزم پوهنتون کندهار ,60,193.3464,253.2062
دیپارتمنت زبان و ادبیات انگلیسی (ذکور) پوهنځی تعلیم و تربیه پوهنتون کندهار ,60,189.932,252.7189
دیپارتمنت اداره و دیپلوماسی (ذکور) پوهنځی حقوق و علوم سیاسی پوهنتون کندهار ,60,213.1893,251.1294
دیپارتمنت زبان و ادبیات انگلیسی (ذکور) پوهنځی زبان و ادبیات پوهنتون کندهار ,60,191.0331,241.6903
دیپارتمنت بیولوژی (ذکور) پوهنځی تعلیم و تربیه پوهنتون کندهار ,60,184.0503,238.0482
دیپارتمنت زبان و ادبیات پشتو (ذکور) پوهنځی زبان و ادبیات پوهنتون کندهار ,60,178.0322,233.6823
دیپارتمنت تاریخ (ذکور) پوهنځی تعلیم و تربیه پوهنتون کندهار ,60,155.1874,231.3613
دیپارتمنت مطبوعات (ذکور) پوهنځی ژورنالیزم پوهنتون کندهار ,60,183.8457,231.061
دیپارتمنت تربیت بدنی (ذکور) پوهنځی تعلیم و تربیه پوهنتون کندهار ,60,156.1455,227.959
