faculty,application,lowest_score,highest_score
دیپارتمنت خاک شناسی و آبیاری پوهنځی زراعت پوهنتون کابل,43,180.2949,225.212
دیپارتمنت فقه و عقیده پوهنځی علوم اسلامی پوهنتون تعلیم و تربیه کابل,43,184.2919,224.2127
انستیتیوت ژورنالیزم کابل شهر کابل,43,174.3937,223.4183
دیپارتمنت روانشناسی تعلیم وتربیه نابینایان پوهنځی تعلیمات اختصاصی پوهنتون تعلیم و تربیه کابل,43,150.613,223.4174
دیپارتمنت فقه و عقیده پوهنځی علوم اسلامی پوهنتون تعلیم و تربیه کابل (مدارس),43,155.3473,222.2481
انستیتیوت کثیرالرشتوی قصبه شهر کابل,43,154.7416,218.9812
انستیتیوت هنرهای زیبا و صنایع شهر کابل,43,146.6163,216.4266
دیپارتمنت جامعه شناسی پوهنځی علوم اجتماعی پوهنتون تعلیم و تربیه کابل,43,169.4069,212.8142
دیپارتمنت تاریخ عمومی پوهنځی علوم اجتماعی پوهنتون تعلیم و تربیه کابل,43,157.5596,211.7285
انستیتیوت کثیرالرشتوی احمد شاه بابا شهر کابل,43,140.0228,207.652
دیپارتمنت عمومی پوهنځی تربیت بدنی و علوم ورزشی پوهنتون تعلیم و تربیه کابل,43,174.9763,206.7358
انستیتیوت کثیرالرشتوی بایزید روشان شهر کابل,43,152.9905,206.529
دیپارتمنت روانشناسی تعلیم وتربیه عقب مانده های ذهنی پوهنځی تعلیمات اختصاصی پوهنتون تعلیم و تربیه کابل,43,163.5044,206.2868
انستیتیوت میخانیکی شهر کابل,43,140.2533,203.1268
دیپارتمنت تعلیم وتربیه قبل ازمکتب و ابتدائیه پوهنځی علوم تربیتی ومسلکی پوهنتون تعلیم و تربیه کابل,43,150.173,199.3724
انستیتیوت زراعت و وترنری ولسوالی چهار آسیاب ولایت کابل,43,142.7859,191.6572
انستیتیوت کیثرالرشتوی ناحیه ۱۱ ولایت کابل,43,142.5773,186.4726
انستیتیوت کثیرالرشتوی ولسوالی کلکان ولایت کابل,43,141.1776,185.3929
انستیتیوت زراعت و پروسس مواد غذائی شهر کابل,43,142.5764,184.9504
انستیتیوت انستیتیوت ملی توریزم و هوتل داری شهر کابل,43,142.5764,182.3313
انستیتیوت مدیریت نیما ولایت کابل,43,145.239,177.8627
دارالعلوم/دارالحفاظ امام ابوحنیفه ولایت کابل,43,169.5248,177.3446
انستیتیوت کثیرالرشتوی ولسوالی بگرامی ولایت کابل,43,148.2577,177.31
انستیتیوت کثیرالرشتوی ولسوالی ده سبز ولایت کابل,43,152.2086,161.1472
